epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.33069,2.10473,4.4499,1.30345,0.04147,0.22568,0.0576,0.02577,1.63222,4.49501,1.0339,0.00015,0.00015,0.00015
2,16.46,1.57313,3.27598,1.06821,0.01955,0.24742,0.06571,0.02308,1.4038,4.25649,0.99675,0.000306931,0.000306931,0.000306931
3,23.4053,1.52601,2.37254,1.05171,0.03105,0.42272,0.13733,0.06641,1.41036,3.91293,1.00136,0.000460694,0.000460694,0.000460694
4,29.8817,1.44246,2.08459,1.03358,0.03597,0.50524,0.17083,0.08724,1.35653,3.65174,1.00442,0.000611289,0.000611289,0.000611289
5,36.539,1.43674,1.88136,1.01932,0.3174,0.46426,0.29564,0.13902,1.64851,3.20679,1.00388,0.000758716,0.000758716,0.000758716
6,43.1726,1.39999,1.71063,1.0163,0.63823,0.32666,0.49799,0.2506,1.57914,2.57655,1.02151,0.000902975,0.000902975,0.000902975
7,49.898,1.37394,1.66551,1.00722,0.67748,0.40983,0.53206,0.29635,1.41158,2.32558,1.01015,0.0009406,0.0009406,0.0009406
8,56.4192,1.31173,1.61974,0.9887,0.63388,0.56062,0.58755,0.33685,1.32187,1.85562,1.0045,0.0009307,0.0009307,0.0009307
9,63.3516,1.235,1.51004,0.97326,0.62701,0.5902,0.57176,0.32945,1.24805,1.5976,0.98562,0.0009208,0.0009208,0.0009208
10,70.8348,1.29428,1.51411,0.98346,0.6821,0.59281,0.60242,0.367,1.26561,1.61924,0.98646,0.0009109,0.0009109,0.0009109
11,77.9693,1.22901,1.45201,0.97601,0.66808,0.60277,0.61402,0.3821,1.23422,1.44108,1.00457,0.000901,0.000901,0.000901
12,85.0983,1.23265,1.43146,0.97047,0.57337,0.6195,0.55931,0.29878,1.4306,1.56506,0.99286,0.0008911,0.0008911,0.0008911
13,92.6018,1.2223,1.37865,0.96444,0.66532,0.59647,0.59266,0.335,1.35266,1.47773,0.97621,0.0008812,0.0008812,0.0008812
14,99.8972,1.25542,1.38801,0.99576,0.71412,0.62752,0.66532,0.41152,1.18947,1.34796,0.95271,0.0008713,0.0008713,0.0008713
15,106.385,1.1405,1.32082,0.94746,0.75101,0.55788,0.65534,0.42256,1.15493,1.3746,0.96292,0.0008614,0.0008614,0.0008614
16,112.847,1.17031,1.28012,0.9546,0.67142,0.63427,0.65952,0.42403,1.1083,1.33176,0.96017,0.0008515,0.0008515,0.0008515
17,119.149,1.1334,1.24692,0.94703,0.69875,0.62088,0.65795,0.42889,1.09017,1.32836,0.9393,0.0008416,0.0008416,0.0008416
18,125.591,1.11498,1.23763,0.9348,0.68814,0.53768,0.58325,0.2969,1.46312,1.51202,0.96968,0.0008317,0.0008317,0.0008317
19,131.3,1.12279,1.23327,0.95129,0.59568,0.63203,0.59232,0.29215,1.5305,1.48451,0.97986,0.0008218,0.0008218,0.0008218
20,136.95,1.12654,1.22674,0.93757,0.72336,0.66338,0.70538,0.4559,1.10764,1.20832,0.93639,0.0008119,0.0008119,0.0008119
21,142.673,1.08395,1.16564,0.9261,0.71751,0.65492,0.67331,0.45088,1.05861,1.23058,0.93008,0.000802,0.000802,0.000802
22,148.369,1.11679,1.17709,0.94572,0.71623,0.64453,0.70349,0.46528,1.04737,1.21446,0.93312,0.0007921,0.0007921,0.0007921
23,154.184,1.03016,1.13148,0.92769,0.74706,0.62494,0.68787,0.46714,1.01506,1.23644,0.93008,0.0007822,0.0007822,0.0007822
24,159.842,1.02693,1.14235,0.92578,0.65686,0.65238,0.66009,0.40873,1.15148,1.29613,0.94147,0.0007723,0.0007723,0.0007723
25,165.495,1.06014,1.08258,0.91911,0.73396,0.64069,0.69431,0.44897,1.09762,1.20371,0.94593,0.0007624,0.0007624,0.0007624
26,171.431,1.04768,1.09195,0.92136,0.71053,0.67368,0.68626,0.47134,1.06532,1.19157,0.9403,0.0007525,0.0007525,0.0007525
27,177.18,1.02325,1.08104,0.91464,0.74493,0.66459,0.6907,0.46402,1.03811,1.16787,0.92301,0.0007426,0.0007426,0.0007426
28,183.032,1.00519,1.01131,0.90604,0.78272,0.66041,0.73187,0.49673,1.03544,1.16273,0.93833,0.0007327,0.0007327,0.0007327
29,188.784,1.05221,1.05549,0.9215,0.75765,0.69741,0.74073,0.48574,0.99262,1.10847,0.92192,0.0007228,0.0007228,0.0007228
30,194.47,1.00864,1.00429,0.88922,0.74994,0.65246,0.69828,0.48469,0.98347,1.07359,0.92675,0.0007129,0.0007129,0.0007129
31,200.17,1.05088,1.01671,0.91613,0.72903,0.65867,0.69433,0.47906,0.98263,1.0915,0.92553,0.000703,0.000703,0.000703
32,205.809,1.01351,0.99808,0.9055,0.79583,0.64988,0.71691,0.48457,1.01809,1.08562,0.9347,0.0006931,0.0006931,0.0006931
33,211.455,1.0111,1.00453,0.90366,0.74021,0.66627,0.7126,0.47151,1.08506,1.11788,0.9342,0.0006832,0.0006832,0.0006832
34,217.22,0.98603,0.97385,0.90287,0.74799,0.67248,0.71892,0.50169,0.99278,1.04796,0.92629,0.0006733,0.0006733,0.0006733
35,223.069,0.99652,0.95374,0.90135,0.72938,0.68573,0.7311,0.49198,0.99771,1.05856,0.92143,0.0006634,0.0006634,0.0006634
36,228.93,1.00336,0.94443,0.89405,0.823,0.65358,0.74239,0.50421,0.98291,1.04572,0.92745,0.0006535,0.0006535,0.0006535
37,234.731,0.96185,0.91731,0.89787,0.75256,0.67442,0.72749,0.49499,0.96961,1.0192,0.92167,0.0006436,0.0006436,0.0006436
38,240.442,0.94147,0.9359,0.89011,0.79291,0.694,0.74024,0.50947,0.96842,1.01014,0.92923,0.0006337,0.0006337,0.0006337
39,246.231,0.93853,0.90244,0.90181,0.72376,0.67485,0.70832,0.49429,0.96378,1.06351,0.92404,0.0006238,0.0006238,0.0006238
40,251.835,0.96892,0.93958,0.90029,0.7044,0.65643,0.68621,0.48387,0.94956,1.10205,0.92293,0.0006139,0.0006139,0.0006139
41,257.422,0.92007,0.89155,0.88697,0.72649,0.6849,0.70725,0.48203,1.00238,1.04556,0.92979,0.000604,0.000604,0.000604
42,263.298,0.9557,0.93855,0.90432,0.81808,0.65,0.726,0.45763,1.1349,1.04826,0.93334,0.0005941,0.0005941,0.0005941
43,269.025,0.92317,0.88771,0.87955,0.73732,0.66209,0.71039,0.46686,1.02874,1.1135,0.92664,0.0005842,0.0005842,0.0005842
44,274.703,0.91343,0.90363,0.89453,0.79112,0.66959,0.75227,0.49948,0.99603,1.01251,0.91726,0.0005743,0.0005743,0.0005743
45,280.357,0.91992,0.87804,0.88848,0.73095,0.71697,0.74967,0.52577,0.90762,1.00536,0.91091,0.0005644,0.0005644,0.0005644
46,286.1,0.88809,0.84399,0.89093,0.7273,0.67815,0.723,0.5082,0.93067,1.02526,0.91632,0.0005545,0.0005545,0.0005545
47,292.12,0.95011,0.87695,0.89214,0.76003,0.66734,0.71365,0.4442,1.1489,1.09656,0.94967,0.0005446,0.0005446,0.0005446
48,298.141,0.90488,0.85107,0.89496,0.71437,0.70382,0.70737,0.45797,1.11048,1.06074,0.93925,0.0005347,0.0005347,0.0005347
49,304.122,0.93175,0.85048,0.88114,0.76915,0.66884,0.73129,0.49106,0.96726,1.02193,0.92719,0.0005248,0.0005248,0.0005248
50,309.983,0.89616,0.83895,0.88705,0.77379,0.64539,0.7153,0.4863,0.93552,1.02223,0.91932,0.0005149,0.0005149,0.0005149
51,315.906,0.92261,0.83716,0.89136,0.71783,0.70957,0.73607,0.51148,0.9598,0.96419,0.92374,0.000505,0.000505,0.000505
52,321.823,0.93146,0.84642,0.89205,0.78795,0.694,0.73991,0.47408,1.06226,0.99822,0.92777,0.0004951,0.0004951,0.0004951
53,327.692,0.90039,0.82394,0.88234,0.72302,0.69025,0.71425,0.48074,1.02589,1.02125,0.92764,0.0004852,0.0004852,0.0004852
54,333.551,0.88644,0.79145,0.8742,0.75674,0.68801,0.72167,0.49836,0.96394,1.00208,0.92412,0.0004753,0.0004753,0.0004753
55,339.694,0.87482,0.80218,0.87215,0.76414,0.68576,0.75016,0.51431,0.93074,0.95343,0.92234,0.0004654,0.0004654,0.0004654
